Tag,Category,Derived
acid jazz,genre,funk;jazz
adult contemporary,genre,soft rock
alternative country,genre,country
alternative dance,genre,alternative rock;electronic
alternative hip hop,genre,hip hop
alternative metal,genre,alternative rock;metal
alternative R&B,genre,R&B
alternative rock,genre,rock
ambient,genre,electronic
Americana,genre,country;folk
anarcho-punk,genre,punk rock
anti-folk,genre,folk
art pop,genre,experimental;pop
art punk,genre,experimental;punk rock
art rock,genre,experimental;rock
atmospheric folk,genre,folk
avant-funk,genre,experimental;funk
baroque pop,genre,chamber pop
beatdown hardcore,genre,hardcore
bedroom pop,genre,indie pop
big band,genre,jazz
blues,genre,
blues rock,genre,blues;rock
bounce,genre,hip hop
calypso,genre,
cello rock,genre,rock
Celtic folk,genre,folk
Celtic punk,genre,folk punk
chamber pop,genre,pop
Christian hip hop,genre,hip hop;Christian
Christian rock,genre,rock;Christian
classic rock,genre,rock
comedy metal,genre,comedy rock;metal
comedy rock,genre,rock
complextro,genre,electro house
country,genre,
country pop,genre,country;pop
crunkcore,genre,hip hop;post-hardcore
dance-pop,genre,electronic;pop
dance-punk,genre,electronic;punk rock
dark cabaret,genre,
dark wave,genre,gothic rock;new wave
death metal,genre,metal
deathcore,genre,death metal;metalcore
deathgrind,genre,death metal;grindcore
deathrock,genre,gothic rock;punk rock
deconstructed club,genre,electronic
digital hardcore,genre,electronic;hardcore
disco,genre,funk
djent,genre,progressive metal
dream pop,genre,indie pop
dub,genre,reggae
dubstep,genre,EDM
easy listening,genre,traditional pop
easycore,genre,hardcore;pop punk
EDM,genre,electronic
electro,genre,electronic
electro house,genre,house
electro-funk,genre,electro;funk
electroclash,genre,electronic;new wave
electronic,genre,
electropop,genre,electronic;pop
electropunk,genre,electronic;punk rock
emo,genre,alternative rock;punk rock
emo pop,genre,emo;pop punk
Eurodance,genre,EDM
Europop,genre,pop
experimental,genre,
experimental metal,genre,experimental;metal
experimental pop,genre,experimental;pop
experimental rock,genre,experimental;rock
folk,genre,
folk metal,genre,folk;metal
folk pop,genre,folk;pop
folk punk,genre,folk;punk rock
folk rock,genre,folk;rock
folktronica,genre,electronic;folk
funk,genre,
funk metal,genre,funk;metal
funk rock,genre,funk;rock
future bass,genre,EDM
futurepop,genre,synthpop
garage punk,genre,garage rock;punk rock
garage rock,genre,rock
geek rock,genre,alternative rock
glam pop,genre,glam rock;pop
glam rock,genre,rock
goregrind,genre,deathgrind
gothic metal,genre,gothic rock;metal
gothic rock,genre,rock
grindcore,genre,hardcore;metal
groove metal,genre,metal
gypsy punk,genre,folk punk
hands up,genre,Eurodance
happy hardcore,genre,EDM
hard rock,genre,rock
hardcore,genre,punk rock
hardcore hip hop,genre,hip hop
heartland rock,genre,rock
hip hop,genre,
hip house,genre,hip hop;house
house,genre,electronic
hyperpop,genre,electronic;pop
indie folk,genre,folk
indie pop,genre,pop
indie rock,genre,alternative rock
indietronica,genre,electronic;indie pop
industrial,genre,electronic
industrial metal,genre,industrial;metal
industrial rock,genre,industrial;rock
J-pop,genre,pop
jangle pop,genre,indie pop
jazz,genre,
jazz fusion,genre,jazz
kawaii metal,genre,J-pop;metal
Latin rock,genre,rock
love metal,genre,gothic metal
mashup,genre,plunderphonics
math rock,genre,experimental;rock
melodic death metal,genre,death metal
melodic hardcore,genre,hardcore
melodic metalcore,genre,metalcore
mento,genre,calypso
merseybeat,genre,rock and roll
metal,genre,rock
metalcore,genre,hardcore;metal
midwest emo,genre,emo
neo soul,genre,R&B
neo-psychedelia,genre,alternative rock;psychedelic rock
neoclassical metal,genre,symphonic metal
neofolk,genre,folk
neon pop punk,genre,pop punk
new age,genre,
new wave,genre,rock
no wave,genre,experimental;punk rock
noise pop,genre,indie pop;noise rock
noise rock,genre,alternative rock;experimental
nu metal,genre,alternative metal
nu-disco,genre,disco
pagan folk,genre,neofolk
piano rock,genre,rock
plunderphonics,genre,electronic;experimental
polka,genre,folk
pop,genre,
pop punk,genre,pop rock;punk rock
pop rap,genre,hip hop;pop
pop rock,genre,pop;rock
post-grunge,genre,alternative rock
post-hardcore,genre,hardcore
post-metal,genre,metal;post-rock
post-punk,genre,punk rock
post-punk revival,genre,post-punk
post-rock,genre,experimental;rock
power metal,genre,metal
power pop,genre,pop rock
prog rock,genre,art rock
progressive house,genre,house
progressive metal,genre,metal;prog rock
progressive metalcore,genre,metalcore;progressive metal
psychedelic pop,genre,pop;psychedelic rock
psychedelic rock,genre,rock
punk cabaret,genre,dark cabaret;punk rock
punk rock,genre,rock
R&B,genre,
rap metal,genre,metal;rap rock
rap rock,genre,hip hop;rock
rapcore,genre,hardcore;rap rock
rave,genre,electronic
reggae,genre,
reggae rock,genre,reggae;rock
riot grrrl,genre,punk rock
rock,genre,
rock and roll,genre,rock
rock opera,genre,prog rock
sasscore,genre,post-hardcore
screamo,genre,emo;post-hardcore
shibuya-kei,genre,J-pop
shock rock,genre,rock
shoegaze,genre,alternative rock
singer-songwriter,genre,
ska,genre,
ska punk,genre,punk rock;ska
skacore,genre,hardcore;ska punk
skate punk,genre,punk rock
soft rock,genre,rock
Southern hip hop,genre,hip hop
space rock,genre,psychedelic rock
speed metal,genre,metal
street punk,genre,punk rock
swing,genre,big band
swing revival,genre,swing
symphonic metal,genre,metal
symphonic power metal,genre,power metal;symphonic metal
synthpop,genre,electronic;new wave;pop
technical death metal,genre,death metal
techno,genre,electronic
teen pop,genre,pop
third-wave ska,genre,ska
thrash metal,genre,metal
traditional pop,genre,pop
trap,genre,hip hop
trip hop,genre,electronic;hip hop
twee pop,genre,indie pop
vocal jazz,genre,jazz
witch house,genre,electronic
acoustic textures,quality,
Afrobeat influences,quality,
angsty lyrics,quality,
angular guitars,quality,guitar-driven
anthemic choruses,quality,
atmospheric textures,quality,
breakdowns,quality,heavy riffs
breakneck tempos,quality,
breathy vocals,quality,
camp and flamboyant,quality,
catchy hooks,quality,
choral vocals,quality,
cinematic scope,quality,
classical influences,quality,
concept albums,quality,
confessional lyrics,quality,
crooning vocals,quality,
danceable grooves,quality,
disco grooves,quality,danceable grooves
distorted guitars,quality,guitar-driven
dual vocals,quality,
electronic beats,quality,
ethereal vocals,quality,
explicit lyrics,quality,
